Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_3,binary_simple,bfi_to_minimarker_binary_deepseek_temp1,Agreeableness,8,200,0.975,0.887,0.664,0.53,0.561,0.144,1277.55,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_deepseek_temp1,Conscientiousness,8,200,0.985,0.983,0.899,0.859,0.305,0.025,392.69,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_deepseek_temp1,Extraversion,8,200,0.993,0.99,0.89,0.847,0.369,0.019,565.674,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_deepseek_temp1,Neuroticism,8,200,0.988,0.986,0.907,0.87,0.325,0.022,442.288,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_deepseek_temp1,Openness,8,200,0.969,0.927,0.78,0.692,0.388,0.094,621.833,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1,Agreeableness,8,200,0.966,0.965,0.947,0.925,0.161,0.034,123.825,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1,Conscientiousness,8,200,0.99,0.993,0.973,0.962,0.16,0.007,122.715,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1,Extraversion,8,200,0.991,0.991,0.975,0.965,0.16,0.012,122.6,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1,Neuroticism,8,200,0.988,0.984,0.896,0.855,0.314,0.028,414.718,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1,Openness,8,200,0.965,0.966,0.939,0.915,0.178,0.033,147.053,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Agreeableness,8,200,0.968,0.958,0.861,0.806,0.28,0.064,332.959,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Conscientiousness,8,200,0.989,0.992,0.949,0.929,0.225,0.01,222.205,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Extraversion,8,200,0.989,0.987,0.947,0.926,0.236,0.02,243.129,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Neuroticism,8,200,0.997,0.997,0.968,0.956,0.209,0.003,195.113,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Openness,8,200,0.985,0.986,0.918,0.885,0.251,0.021,272.897,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Agreeableness,8,200,0.965,0.847,0.655,0.517,0.559,0.146,1268.762,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Conscientiousness,8,200,0.988,0.991,0.94,0.916,0.283,0.013,341.007,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Extraversion,8,200,0.993,0.998,0.917,0.884,0.366,0.002,557.04,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Neuroticism,8,200,0.966,0.986,0.898,0.857,0.301,0.047,382.234,20,0
